id,id_anfitrion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,texto_banos,noches_minimas,noches_maximas,min_noches_maximas,max_noches_maximas,precio,disp_30d,disp_60d,disp_90d,disp_365d,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,antiguedad_host,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,listados_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia,amenidades
1226575951591317605,2634978,Isole,Cannaregio,45.44429,12.32302,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,1.5 baths,1,1125,1125,1125,168.0,14,30,60,335,9,9,0,2024-08-30,2025-04-10,0.92,4.33,4.33,4.33,3.44,4.44,4.67,4.11,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4QNN9QWE2,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Backyard"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Freezer""]"
1273846946767749668,2634978,Isole,Santa Croce,45.44061588352363,12.325135336946058,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,1,1125,1125,1125,178.0,4,15,41,305,2,2,0,2024-11-11,2025-03-31,0.27,4.0,4.5,3.5,5.0,5.0,5.0,4.5,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2J4IR8YOL,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Pets allowed"", ""Host greets you"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Dishwasher"", ""Stove""]"
1274547906423999959,2634978,Isole,Santa Croce,45.43988035398132,12.325162245903936,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,1,1125,1125,1125,146.0,4,12,36,311,10,10,2,2025-01-06,2025-05-22,1.84,4.6,4.8,4.7,4.8,4.7,4.9,4.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2BUAWZOGB,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Dishes and silverware"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Smoking allowed"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Dishwasher"", ""Stove""]"
1274548019858045776,2634978,Isole,San Polo,45.43846896473091,12.32343206008297,Entire rental unit,Entire home/apt,8,2.0,2.0,4.0,2 baths,1,1125,1125,1125,429.0,0,8,28,292,0,0,0,2222-01-01,2222-01-01,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2J4IR8YOL,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Smoking allowed"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Dishwasher"", ""Stove""]"
1304303738234747433,2634978,Isole,San Marco,45.43428,12.33306,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,1,1125,1125,1125,192.0,6,17,33,297,4,4,1,2025-04-12,2025-05-31,1.79,4.25,4.0,4.75,4.5,4.0,4.75,4.25,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2FR9PGUA9,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Pets allowed"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Smoking allowed"", ""Hot water"", ""Crib"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Stove""]"
1346198446187765553,2634978,Isole,Castello,45.43703,12.33877,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,1,1125,1125,1125,159.0,17,47,69,339,3,3,0,2025-02-23,2025-05-06,0.78,4.33,4.67,3.67,5.0,5.0,5.0,4.33,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2JRZASPQS,"[""Refrigerator"", ""Bed linens"", ""Host greets you"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Dishes and silverware"", ""Stove"", ""Hot water"", ""Crib"", ""Carbon monoxide alarm"", ""Kitchen"", ""Iron"", ""Smoke alarm"", ""Pets allowed"", ""Hair dryer"", ""Wifi""]"
1351301164939770232,2634978,Isole,Dorsoduro,45.428865208275255,12.329969618339584,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,2 baths,1,1125,1125,1125,196.0,10,33,60,325,2,2,0,2025-02-23,2025-04-27,0.52,4.5,4.5,5.0,5.0,5.0,5.0,4.5,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4DYTVZ675,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Fire extinguisher"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Patio or balcony"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""TV"", ""Freezer""]"
1353580369173035247,2634978,Isole,Cannaregio,45.44571,12.32187,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,1 bath,1,1125,1125,1125,170.0,30,60,90,365,4,4,0,2025-02-24,2025-04-25,1.05,3.75,4.75,4.25,5.0,5.0,5.0,4.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4XGN3MGTE,"[""Bed linens"", ""Host greets you"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Dishes and silverware"", ""Stove"", ""Hot water"", ""Crib"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Iron"", ""Smoke alarm"", ""Kitchen"", ""Bathtub"", ""Wifi"", ""Hair dryer""]"
1359254542892272496,2634978,Isole,San Polo,45.43710570605235,12.329472094019248,Entire rental unit,Entire home/apt,1,2.5,2.0,4.0,2.5 baths,1,1125,1125,1125,282.0,0,27,57,332,0,0,0,2222-01-01,2222-01-01,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2EB97GOUI,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Hot water"", ""Crib"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
1359916708058728026,2634978,Isole,Castello,45.43663,12.34032,Entire rental unit,Entire home/apt,10,3.0,4.0,6.0,3 baths,1,1125,1125,1125,764.0,0,7,17,252,1,1,1,2025-06-03,2025-06-03,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2JRZASPQS,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Dishes and silverware"", ""Oven"", ""Host greets you"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Patio or balcony"", ""Hot water"", ""Crib"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
1360810799584509413,2634978,Isole,Santa Croce,45.44098,12.33035,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,1,1125,1125,1125,160.0,25,52,82,349,4,4,0,2025-03-04,2025-05-09,1.13,3.5,3.75,3.0,3.5,3.75,4.25,3.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C25WFIO7Y8,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Pets allowed"", ""Host greets you"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Smoking allowed"", ""Patio or balcony"", ""Hot water"", ""Crib"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
1371573987727490204,2634978,Isole,San Marco,45.43421,12.34056,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,2 baths,1,1125,1125,1125,441.0,14,34,45,303,0,0,0,2222-01-01,2222-01-01,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,f,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2QM5K2IYX,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Oven"", ""Host greets you"", ""Cooking basics"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Patio or balcony"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
1381829930870066597,2634978,Isole,San Marco,45.43281,12.33756,Entire rental unit,Entire home/apt,5,2.0,3.0,4.0,2 baths,1,1125,1125,1125,262.0,6,20,31,293,2,2,1,2025-04-08,2025-05-26,0.85,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2LFZS57X3,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Fire extinguisher"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Elevator"", ""TV"", ""Freezer""]"
1430281196186724589,2634978,Isole,Dorsoduro,45.431105,12.3207294,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,1 bath,1,1125,1125,1125,1999.0,17,47,65,154,0,0,0,2222-01-01,2222-01-01,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2NQLMCMH7,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Dishes and silverware"", ""Fire extinguisher"", ""Oven"", ""Host greets you"", ""Cooking basics"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
